Year,Period,Organisation Code,Organisation Name,Location ID,Location Name,Location Region,CQC Rating,Cancelled Elective Operations,Number Not Treated Within 28 Days,Admissions,% CanOps Val,% Not Treated 28 Days Val,% Cancelled Ops,% Cancelled Ops (n),% Not treated within 28 Days,Quartile,Trust Code,% National Average
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A02,Manchester Royal Infirmary,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A03,Royal Manchester Children's Hospital,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A04,Royal Manchester Eye Hospital,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A05,Saint Mary's Hospital,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A06,Dental Hospital Manchester,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A07,Wythenshawe Hospital,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A09,Trafford General Hospital,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0A,Manchester University NHS Foundation Trust ,R0A2Q,Altrincham General Hospital,North West ,Good,581,22,26853,0.02164,0.03787,2.16%,2.16% (581),3.8%,Worst Quartile,R0A,0.01584
2019,Q3,R0B,South Tyneside and Sunderland NHS Foundation Trust ,R0B01,Sunderland Royal Hospital,North East ,Not Yet Rated,209,35,12749,0.01639,0.16746,1.64%,1.64% (209),16.7%,Above Avg,R0B,0.01584
2019,Q3,R0B,South Tyneside and Sunderland NHS Foundation Trust ,R0B0B,Durham Diagnostics and Treatment Centre,North East ,Not Yet Rated,209,35,12749,0.01639,0.16746,1.64%,1.64% (209),16.7%,Above Avg,R0B,0.01584
2019,Q3,R0B,South Tyneside and Sunderland NHS Foundation Trust ,R0B0M,Shotley Bridge,North East ,Not Yet Rated,209,35,12749,0.01639,0.16746,1.64%,1.64% (209),16.7%,Above Avg,R0B,0.01584
2019,Q3,R0B,South Tyneside and Sunderland NHS Foundation Trust ,R0B0Q,South Tyneside General Hospital,North East ,Not Yet Rated,209,35,12749,0.01639,0.16746,1.64%,1.64% (209),16.7%,Above Avg,R0B,0.01584
2019,Q3,R0B,South Tyneside and Sunderland NHS Foundation Trust ,R0B0X,Sunderland Eye Infirmary,North East ,Not Yet Rated,209,35,12749,0.01639,0.16746,1.64%,1.64% (209),16.7%,Above Avg,R0B,0.01584
2019,Q3,R0B,South Tyneside and Sunderland NHS Foundation Trust ,R0B1G,University Hospital Durham,North East ,Not Yet Rated,209,35,12749,0.01639,0.16746,1.64%,1.64% (209),16.7%,Above Avg,R0B,0.01584
2019,Q3,R1F,Isle of Wight NHS Trust ,R1F01,St Mary's Hospital,South East ,Requires improvement,92,16,2531,0.03635,0.17391,3.63%,3.63% (92),17.4%,Worst Quartile,R1F,0.01584
2019,Q3,R1H,Barts Health NHS Trust ,R1H12,The Royal London Hospital,London ,Requires improvement,554,112,19145,0.02894,0.20217,2.89%,2.89% (554),20.2%,Worst Quartile,R1H,0.01584
2019,Q3,R1H,Barts Health NHS Trust ,R1HKH,Whipps Cross University Hospital,London ,Requires improvement,554,112,19145,0.02894,0.20217,2.89%,2.89% (554),20.2%,Worst Quartile,R1H,0.01584
2019,Q3,R1H,Barts Health NHS Trust ,R1HM0,St Bartholomew's Hospital,London ,Requires improvement,554,112,19145,0.02894,0.20217,2.89%,2.89% (554),20.2%,Worst Quartile,R1H,0.01584
