YearMonth,Rolling_Data_Month,Location ID,Location Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name,Total Waiting List,Number waiting 6+ Weeks,Number waiting 13+ Weeks,% waiting 6+ weeks
201912,Current Month,RWA01,Hull Royal Infirmary,RWA,Hull University Teaching Hospitals NHS Trust ,14,Cystoscopy,177,56,2,31.64
201912,Current Month,RN542,Andover War Memorial Hospital,RN5,Hampshire Hospitals NHS Foundation Trust ,1,Magnetic Resonance Imaging,1373,9,1,0.66
201912,Current Month,,,H82017,Park Surgery,3,Non-obstetric Ultrasound,115,0,0,0
201912,Current Month,RNNCB,Cockermouth Hospital,RNN,North Cumbria Integrated Care NHS Foundation Trust ,16,Total,6804,1059,136,15.56
201912,Current Month,RP401,Great Ormond Street Hospital,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust ,7,Cardiology - Echocardiography,55,1,0,1.82
201912,Current Month,RXH06,Royal Alexandra Children's Hospital,RXH,Brighton and Sussex University Hospitals NHS Trust ,10,Respiratory physiology - Sleep Studies,224,169,103,75.45
201912,Current Month,1-128732743,Fitzwilliam Hospital,NVC06,Fitzwilliam Hospital ,16,Total,206,0,0,0
201912,Current Month,R1F01,St Mary's Hospital,R1F,Isle of Wight NHS Trust ,13,Flexi Sigmoidoscopy,47,3,0,6.38
201912,Current Month,RH8D6,Exeter Community Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust ,7,Cardiology - Echocardiography,594,384,105,64.65
201912,Current Month,1-129798341,Spire Parkway Hospital,NT320,Spire Parkway Hospital ,16,Total,129,0,0,0
201912,Current Month,RHU10,Gosport War Memorial Hospital,RHU,Portsmouth Hospitals NHS Trust ,3,Non-obstetric Ultrasound,2100,36,1,1.71
201912,Current Month,RW5AQ,Longridge Hospital,RW5,Lancashire Care NHS Foundation Trust ,1,Magnetic Resonance Imaging,141,0,0,0
201912,Current Month,RDR2F,Midhurst Community Hospital,RDR,Sussex Community NHS Foundation Trust ,5,DEXA Scan,159,0,0,0
201912,Current Month,RQM91,West Middlesex Hospital,RQM,Chelsea and Westminster Hospital NHS Foundation Trust ,9,Neurophysiology - Peripheral Neurophysiology,55,4,1,7.27
201912,Current Month,,,C81081,Manor House Surgery,16,Total,31,0,0,0
201912,Current Month,1-371543261,The White Rose Surgery,NEQ,Phoenix Health Solutions Ltd HQ ,12,Colonoscopy,3,0,0,0
201912,Current Month,RJZ01,King's College Hospital,RJZ,King's College Hospital NHS Foundation Trust ,13,Flexi Sigmoidoscopy,248,121,53,48.79
201912,Current Month,RX1RA,Queen's Medical Centre,RX1,Nottingham University Hospitals NHS Trust ,1,Magnetic Resonance Imaging,3416,33,0,0.97
201912,Current Month,1-128758505,BMI The Beardwood Hospital,NT403,BMI - The Beardwood Hospital ,1,Magnetic Resonance Imaging,82,0,0,0
201912,Current Month,1-153773302,Frimley Park Hospital - Scanning Centre,NV1,InHealth Ltd ,5,DEXA Scan,137,2,0,1.46
201912,Current Month,RD129,Paulton Memorial Hospital (Maternity),RD1,Royal United Hospitals Bath NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,122,0,0,0
201912,Current Month,RET20,The Walton Centre,RET,The Walton Centre NHS Foundation Trust ,1,Magnetic Resonance Imaging,733,0,0,0
201912,Current Month,1-128766862,BMI The Highfield Hospital,NT420,BMI - The Highfield Hospital ,15,Gastroscopy,0,0,0,0
201912,Current Month,RVVKC,Kent & Canterbury Hospital,RVV,East Kent Hospitals University NHS Foundation Trust ,11,Urodynamics - Pressures & Flows,91,5,0,5.49
201912,Current Month,RD129,Paulton Memorial Hospital (Maternity),RD1,Royal United Hospitals Bath NHS Foundation Trust ,7,Cardiology - Echocardiography,949,333,28,35.09
201912,Current Month,1-128767043,BMI Mount Alvernia Hospital,NT455,BMI Mount Alvernia Hospital ,14,Cystoscopy,0,0,0,0
201912,Current Month,RWA16,Castle Hill Hospital,RWA,Hull University Teaching Hospitals NHS Trust ,4,Barium Enema,2,0,0,0
201912,Current Month,RXH42,Worthing Hospital Dixon Ward,RXH,Brighton and Sussex University Hospitals NHS Trust ,9,Neurophysiology - Peripheral Neurophysiology,194,0,0,0
201912,Current Month,RFFAA,Barnsley Hospital,RFF,Barnsley Hospital NHS Foundation Trust ,7,Cardiology - Echocardiography,194,6,0,3.09
201912,Current Month,RAPNM,North Middlesex University Hospital,RAP,North Middlesex University Hospital NHS Trust ,12,Colonoscopy,276,6,1,2.17
201912,Current Month,RYJ07,Western Eye Hospital,RYJ,Imperial College Healthcare NHS Trust ,10,Respiratory physiology - Sleep Studies,141,0,0,0
201912,Current Month,RBZ98,Torrington Community Hospital,RBZ,Northern Devon Healthcare NHS Trust ,1,Magnetic Resonance Imaging,366,4,0,1.09
201912,Current Month,1-128758255,BMI Bath Clinic,NT402,BMI - Bath Clinic ,16,Total,22,0,0,0
201912,Current Month,RT5PC,Rutland Memorial Hospital,RT5,Leicestershire Partnership NHS Trust ,6,Audiology - Audiology Assessments,322,0,0,0
201912,Current Month,RTD02,Royal Victoria Infirmary,RTD,The Newcastle upon Tyne Hospitals NHS Foundation Trust ,13,Flexi Sigmoidoscopy,180,84,29,46.67
201912,Current Month,RXWMB,Bridgnorth Community Hospital,RXW,Shrewsbury and Telford Hospital NHS Trust ,13,Flexi Sigmoidoscopy,110,0,0,0
201912,Current Month,RKB03,Hospital of St Cross,RKB,University Hospitals Coventry and Warwickshire NHS Trust ,2,Computed Tomography,1404,4,0,0.28
201912,Current Month,RH858,Exmouth Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust ,14,Cystoscopy,20,7,2,35
201912,Current Month,RP401,Great Ormond Street Hospital,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust ,4,Barium Enema,15,1,0,6.67
201912,Current Month,RW603,The Royal Oldham Hospital,RW6,The Pennine Acute Hospitals NHS Trust ,13,Flexi Sigmoidoscopy,136,0,0,0
201912,Current Month,RXQ51,Amersham Hospital,RXQ,Buckinghamshire Healthcare NHS Trust ,15,Gastroscopy,259,23,0,8.88
201912,Current Month,RDR2F,Midhurst Community Hospital,RDR,Sussex Community NHS Foundation Trust ,16,Total,930,55,0,5.91
