YearMonth,Rolling_Data_Month,Region Code,Data Type,Location ID,Location Name,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total Admitted,95th percentile waiting time (in weeks)
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,98,46.1
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,96,40.2
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,144,40.3
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",80,46.5
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,213,36.3
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,66,52.3
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,27,51.7
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,65,20.8
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,214,22.8
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,236,30.6
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,192,45.1
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,C_999,Total,2062,43.6
201912,Current Month,Y56,NHS,R1H12,The Royal London Hospital,R1H,BARTS HEALTH NHS TRUST,X01,Other,584,46
201912,Current Month,Y56,NHS,R1HKH,Whipps Cross University Hospital,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,98,46.1
201912,Current Month,Y56,NHS,R1HKH,Whipps Cross University Hospital,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,96,40.2
201912,Current Month,Y56,NHS,R1HKH,Whipps Cross University Hospital,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,144,40.3
