Location ID,Location Name,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Service / Population Group,Key Question,Latest Rating,CQC Rating - Safe,CQC Rating - Effective,CQC Rating - Caring,CQC Rating - Responsive,CQC Rating - Well-Led,Publication Date,Report Type,URL,Provider ID,Provider Name,Brand ID,Brand Name
1-1006377911,Inhealth Radiology Department ,Independent,Hospitals ,Nuffield Health Bristol Hospital -The Chesterfield ,3 Clifton Hill ,Bristol ,BS8 1BN,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,29/08/2019,Location,http://www.cqc.org.uk/location/1-1006377911,1-101634763,Inhealth Limited ,BD289,BRAND Inhealth Limited 
1-1027042974,Leicestershire Consultant Eye Surgeons LLP @ The Stoneygate Eye Hospital ,Independent,Hospitals ,The Stoneygate Eye Hospital ,376 London Road ,Leicester ,LE2 2PN,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Requires improvement,Requires improvement,21/11/2017,Location,http://www.cqc.org.uk/location/1-1027042974,1-862702601,Leicestershire Consultant Eye Surgeons LLP ,,BRAND Newmedica 
1-1053732470,Highfield ENT Clinic ,Independent,Hospitals ,"Highfield Hospital, Highfield Road ", ,Widnes ,WA8 7DJ,Overall,Overall,Good,Good,Requires improvement,Good,Good,Good,29/07/2019,Location,http://www.cqc.org.uk/location/1-1053732470,1-884268744,Widnes Highfield Health Ltd ,,-
1-106389880,Epsom Day Surgery ,Independent,Hospitals ,Old Cottage Hospital ,Alexandra Road ,Epsom ,KT17 4BL,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,09/12/2016,Location,http://www.cqc.org.uk/location/1-106389880,1-101635161,Epsomedical Limited ,,BRAND Epsomedical 
1-106389976,Cobham Day Surgery ,Independent,Hospitals ,Cobham Cottage Hospital ,168 Portsmouth Road ,Cobham ,KT11 1HS,Overall,Overall,Good,Requires improvement,Good,Good,Good,Requires improvement,09/12/2016,Location,http://www.cqc.org.uk/location/1-106389976,1-101635161,Epsomedical Limited ,,BRAND Epsomedical 
1-1067605740,Regency Clinic - City of London ,Independent,Hospitals ,72 Nile Street , ,London ,N1 7SR,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,07/08/2018,Location,http://www.cqc.org.uk/location/1-1067605740,1-1043220788,Regency International Clinic Ltd ,,-
1-107324645,The Newcastle Clinic ,Independent,Hospitals ,4 Towers Avenue ,Jesmond ,Newcastle upon Tyne ,NE2 3QE,Overall,Overall,Requires improvement,Requires improvement,Not Yet Rated,Good,Good,Requires improvement,23/01/2019,Location,http://www.cqc.org.uk/location/1-107324645,1-101634891,Newcastle Clinic Ltd ,,-
1-108386437,The New Victoria Hospital ,Independent,Hospitals ,184 Coombe Lane West , ,Kingston upon Thames ,KT2 7EG,Overall,Overall,Good,Good,Good,Good,Good,Good,15/12/2016,Location,http://www.cqc.org.uk/location/1-108386437,1-101727633,The New Victoria Hospital Limited ,,-
1-108411638,First Trust Hospital ,Independent,Hospitals ,Durton Lane ,Broughton ,Preston ,PR3 5LD,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101634722,Anaster Limited ,,-
1-109183027,Horder Healthcare ,Independent,Hospitals ,St John's Road , ,Crowborough ,TN6 1XP,Overall,Overall,Outstanding,Good,Outstanding,Outstanding,Outstanding,Good,16/05/2017,Location,http://www.cqc.org.uk/location/1-109183027,1-101728244,Horder Healthcare ,,-
1-110476773,The Lawrence Clinic ,Independent,Hospitals ,4-6 Greenside ,Pudsey ,Leeds ,LS28 8PU,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101634363,Tlc Medical Centre LLP ,,-
1-111148014,Worcestershire Imaging Centre ,Independent,Hospitals ,Orchard House ,Victoria Square ,Droitwich ,WR9 8DS,Overall,Overall,Requires improvement,Requires improvement,Not Yet Rated,Good,Good,Requires improvement,28/02/2019,Location,http://www.cqc.org.uk/location/1-111148014,1-101634157,The Worcestershire Imaging Centre Limited ,,-
1-111994472,Optegra Birmingham Eye Hospital ,Independent,Hospitals ,Aston University ,The Aston Triangle ,Birmingham ,B4 7ET,Overall,Overall,Good,Good,Good,Good,Good,Good,02/01/2018,Location,http://www.cqc.org.uk/location/1-111994472,1-101725155,Optegra UK Limited ,,BRAND Optegra 
1-112586745,The Raphael Hospital ,Independent,Hospitals ,Hollanden Park ,"Coldharbour Lane, Hildenborough ",Tonbridge ,TN11 9LE,Overall,Overall,Requires improvement,Requires improvement,Requires improvement,Good,Good,Requires improvement,15/04/2019,Location,http://www.cqc.org.uk/location/1-112586745,1-101634637,Raphael Medical Centre Limited (The) ,,-
