Year,Location ID,Location Name,PLACE Trust Code,Place Trust Name,Commissioning Region,Site Code,Site Name,Organisation Type,NHS or Independent,PLACE Site Type,% Cleanliness,% Food & Hydration,"% Privacy, Dignity & Wellbeing","% Condition, Appearance & Maintainance",% Dementia Domain,% Disability Domain,CLN Actual Score,CLN Max Score,Food Actual Score,Food Max Score,Org Food Actual Score,Org Food Max Score,Ward Food Actual Score,Ward Food Max Score,PDW Actual Score,PDW Max Score,CAM Actual Score,CAM Max Score,DEM Actual Score,DEM Max Score,DIS Actual Score,DIS Max Score
2018,1-109183027,Horder Healthcare,NXM,HORDER HEALTHCARE,SOUTH OF ENGLAND,NXM01,THE HORDER CENTRE,INDEPENDENT SECTOR,IND,Acute/Specialist,99.71,98.04,92.86,99.5,88.66,94.96,676,678,225.89,230.4,114.08,116.59,111.82,113.82,78,84,396,398,218.86,246.86,188.37,198.37
2018,1-114202635,King Edward VII's Hospital ,AHR,KING EDWARD VII'S HOSPITAL SISTER AGNES,LONDON,AHR01,KING EDWARD VII'S HOSPITAL SISTER AGNES,INDEPENDENT SECTOR,IND,Acute/Specialist,99.61,95.79,91.04,99.17,92.5,94.74,1279,1284,311.18,324.84,110.93,118.59,200.25,206.25,122,134,714,720,441.08,476.86,333.83,352.37
2018,1-1150357230,Clinical Diagnostic Services ,NT4,BMI HEALTHCARE,LONDON,NT416,BMI GARDEN HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,94.64,72.71,70.37,89.26,72.93,74.88,371,392,128.07,176.15,82.12,111.03,45.95,65.13,38,54,241,270,124.6,170.86,112.6,150.37
2018,1-115172463,The Foscote Private Hospital ,AHH,Foscote Court (Banbury) Trust Ltd,SOUTH OF ENGLAND,AHH01,THE FOSCOTE PRIVATE HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.43,91.45,82.35,99.13,94.25,92.38,519,522,182.25,199.28,99.56,116.59,82.69,82.69,56,68,341,344,193.08,204.86,161.08,174.37
2018,1-115574313,Nuffield Health Bournemouth Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT202,NUFFIELD HEALTH BOURNEMOUTH HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,98.84,90.48,100,87.75,94,1290,1290,335.39,339.34,114.13,116.59,221.26,222.76,114,126,664,664,297.36,338.86,235.36,250.37
2018,1-115574336,Nuffield Health Brentwood Hospital ,NT2,NUFFIELD HEALTH,LONDON,NT204,NUFFIELD HEALTH BRENTWOOD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,99.36,92.31,94.58,86.25,86.61,560,560,232.89,234.4,111.29,112.81,121.6,121.6,72,78,314,332,163.08,189.08,139.08,160.59
2018,1-115574357,Nuffield Health Brighton Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT205,NUFFIELD HEALTH BRIGHTON HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,96.12,92.5,98.95,74.07,82.46,678,678,202.66,210.84,108.41,114.59,94.25,96.25,74,80,376,380,165.08,222.86,147.08,178.37
2018,1-115574419,Nuffield Health Cheltenham Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT211,NUFFIELD HEALTH CHELTENHAM HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,98.44,98.68,97.62,84.28,87.4,866,866,252.62,256.62,110.81,110.81,141.82,145.82,75,76,369,378,193.08,229.08,152.59,174.59
2018,1-115574439,Nuffield Health Chichester Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT212,NUFFIELD HEALTH CHICHESTER HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.42,93.55,76.39,89.03,61.69,60.54,857,862,197.44,211.06,108.97,114.81,88.47,96.25,55,72,349,392,140.08,227.08,105.7,174.59
2018,1-115574458,Nuffield Health Derby Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT213,NUFFIELD HEALTH DERBY HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,86.63,90.98,98.73,92.74,91.27,910,910,167.63,193.5,90.44,110.81,77.19,82.69,111,122,466,472,307.04,331.08,219.58,240.59
2018,1-115574477,Nuffield Health Exeter Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT215,NUFFIELD HEALTH EXETER HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.42,94.34,93.55,94.44,87.11,90.11,513,516,193.66,205.28,103.19,114.81,90.47,90.47,58,62,340,360,199.56,229.08,169.94,188.59
2018,1-115574498,Nuffield Health Guildford Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT216,NUFFIELD HEALTH GUILDFORD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,98.1,91.67,96.79,95.08,95.09,494,494,214.68,218.84,110.54,112.81,104.14,106.03,77,84,302,312,193.08,203.08,160.32,168.59
2018,1-115574517,Nuffield Health Haywards Heath Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT218,NUFFIELD HEALTH HAYWARDS HEATH HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.45,91.67,88.46,93.7,87.7,90.05,360,362,200.41,218.62,111.94,114.59,88.47,104.03,46,52,223,238,156.86,178.86,133.61,148.37
2018,1-115574537,Nuffield Health Hereford Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT219,NUFFIELD HEALTH HEREFORD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,92.16,87.93,93.71,86.35,81.98,410,410,185.49,201.28,108.31,118.59,77.19,82.69,51,58,268,286,161.36,186.86,131.47,160.37
